Value of item 1: 10
Value of item 2: 15
Value of item 3: 13
Value of item 4: 17
Value of item 5: 13
Value of item 6: 1
Value of item 7: 1
Value of item 8: 15
Value of item 9: 10
Value of item 10: 20
Value of item 11: 6
Value of item 12: 5
Value of item 13: 2
Value of item 14: 17
Value of item 15: 13
Value of item 16: 19
Value of item 17: 2
Value of item 18: 17
Value of item 19: 11
Value of item 20: 19
Value of item 21: 1
Value of item 22: 9
Value of item 23: 16
Value of item 24: 16
Value of item 25: 3
Value of item 26: 11
Value of item 27: 9
Value of item 28: 4
Value of item 29: 15
Value of item 30: 20
Value of item 31: 6
Value of item 32: 15
Value of item 33: 18
Value of item 34: 12
Value of item 35: 15
Value of item 36: 17
Value of item 37: 10
Value of item 38: 7
Value of item 39: 12
Value of item 40: 8
Value of item 41: 19
Value of item 42: 20
Value of item 43: 12
Value of item 44: 2
Value of item 45: 8
Value of item 46: 3
Value of item 47: 14
Value of item 48: 14
Value of item 49: 8
Value of item 50: 7
Value of item 51: 19
Value of item 52: 19
Value of item 53: 6
Value of item 54: 10
Value of item 55: 7
Value of item 56: 2
Value of item 57: 19
Value of item 58: 7
Value of item 59: 15
Value of item 60: 12
Value of item 61: 3
Value of item 62: 6
Value of item 63: 5
Value of item 64: 4
Value of item 65: 10
Value of item 66: 18
Value of item 67: 9
Value of item 68: 4
Value of item 69: 13
Value of item 70: 8
Value of item 71: 15
Value of item 72: 18
Value of item 73: 16
Value of item 74: 19
Value of item 75: 13
Value of item 76: 18
Value of item 77: 16
Value of item 78: 13
Value of item 79: 2
Value of item 80: 18
Value of item 81: 3
Value of item 82: 4
Value of item 83: 12
Value of item 84: 10
Value of item 85: 14
Value of item 86: 2
Value of item 87: 11
Value of item 88: 11
Value of item 89: 7
Value of item 90: 16
Value of item 91: 15
Value of item 92: 16
Value of item 93: 20
Value of item 94: 4
Value of item 95: 16
Value of item 96: 9
Value of item 97: 1
Value of item 98: 15
Value of item 99: 19
Value of item 100: 13
Weight of item 1: 13
Weight of item 2: 20
Weight of item 3: 14
Weight of item 4: 9
Weight of item 5: 9
Weight of item 6: 4
Weight of item 7: 15
Weight of item 8: 5
Weight of item 9: 3
Weight of item 10: 1
Weight of item 11: 19
Weight of item 12: 1
Weight of item 13: 4
Weight of item 14: 19
Weight of item 15: 14
Weight of item 16: 12
Weight of item 17: 16
Weight of item 18: 12
Weight of item 19: 16
Weight of item 20: 20
Weight of item 21: 20
Weight of item 22: 3
Weight of item 23: 4
Weight of item 24: 17
Weight of item 25: 16
Weight of item 26: 12
Weight of item 27: 11
Weight of item 28: 4
Weight of item 29: 5
Weight of item 30: 2
Weight of item 31: 15
Weight of item 32: 4
Weight of item 33: 2
Weight of item 34: 10
Weight of item 35: 14
Weight of item 36: 18
Weight of item 37: 5
Weight of item 38: 17
Weight of item 39: 6
Weight of item 40: 1
Weight of item 41: 17
Weight of item 42: 7
Weight of item 43: 13
Weight of item 44: 13
Weight of item 45: 3
Weight of item 46: 4
Weight of item 47: 4
Weight of item 48: 12
Weight of item 49: 6
Weight of item 50: 1
Weight of item 51: 20
Weight of item 52: 7
Weight of item 53: 7
Weight of item 54: 3
Weight of item 55: 10
Weight of item 56: 20
Weight of item 57: 1
Weight of item 58: 14
Weight of item 59: 20
Weight of item 60: 10
Weight of item 61: 17
Weight of item 62: 12
Weight of item 63: 12
Weight of item 64: 12
Weight of item 65: 3
Weight of item 66: 13
Weight of item 67: 9
Weight of item 68: 13
Weight of item 69: 18
Weight of item 70: 3
Weight of item 71: 4
Weight of item 72: 13
Weight of item 73: 6
Weight of item 74: 6
Weight of item 75: 15
Weight of item 76: 11
Weight of item 77: 9
Weight of item 78: 7
Weight of item 79: 4
Weight of item 80: 19
Weight of item 81: 3
Weight of item 82: 11
Weight of item 83: 15
Weight of item 84: 20
Weight of item 85: 9
Weight of item 86: 7
Weight of item 87: 2
Weight of item 88: 19
Weight of item 89: 16
Weight of item 90: 15
Weight of item 91: 7
Weight of item 92: 17
Weight of item 93: 1
Weight of item 94: 17
Weight of item 95: 4
Weight of item 96: 4
Weight of item 97: 2
Weight of item 98: 15
Weight of item 99: 9
Weight of item 100: 12
Capacity: 250
